reviewId,content,score,at,sentiment,cleaned,stemming
857ca560-1744-46ea-af83-32f53324150e,"Lebih keren kalau di Jadwal Kuliah dikasih ruang kelasnya juga,,",5,2020-01-07 12:55:08,netral,lebih keren kalau di jadwal kuliah dikasih ruang kelasnya juga,lebih keren kalau jadwal kuliah kasih ruang kelas
09925c0b-4a30-4139-a170-6d0fc4ff45ff,mantul,5,2020-01-05 00:28:57,positif,mantul,mantul
a3de7c78-8339-481d-b9a9-8126b9948645,Kenapa setiap buka aplikasi harus login terus..?,3,2020-01-31 17:50:08,negatif,kenapa setiap buka aplikasi harus login terus,tiap buka aplikasi login terus
8b033d65-9450-45e8-b3d8-1a53332a5d1d,"Baguus min peningkatan 😚 Mungkin bisa ditambahkan lagi fitur Absensi, Download KHS, Download KRS, ada info ruang kelas untuk jadwal kuliah 🤟",5,2020-01-05 19:40:32,positif,baguus min peningkatan mungkin bisa ditambahkan lagi fitur absensi download khs download krs ada info ruang kelas untuk jadwal kuliah,baguus min tingkat mungkin tambah fitur absensi download khs download krs info ruang kelas jadwal kuliah
79bc45cf-f009-4fb1-9569-b6c6f09278a3,"Minn berhubung tahun depan kuliah online lagi. Saran saya utk sistem diperbaiki lagii, waktu pertama kali launching utk login sekali saja sudah cukup. Sekarang, bisa keluar2 tiba2 dan itu merepotkan. Kemudian utk link zoom di gapura, lebih baik bisa langsung diklik tanpa harus copas lagi dari Siam. Terimakasih",4,2020-12-15 13:22:46,negatif,minn berhubung tahun depan kuliah online lagi saran saya utk sistem diperbaiki lagii waktu pertama kali launching utk login sekali saja sudah cukup sekarang bisa keluar tiba dan itu merepotkan kemudian utk link zoom di gapura lebih baik bisa langsung diklik tanpa harus copas lagi dari siam terimakasih,minn hubung tahun depan kuliah online saran utk sistem baik lagi waktu pertama kali launching utk login sekali sudah cukup sekarang keluar tiba itu repot kemudian utk link zoom gapura lebih baik langsung klik harus copas dari siam terimakasih
d49f2ad5-fab5-4c84-b656-bf1bec13cb96,setelah diperbarui kok jadi sering keluar akun sendiri yaa,3,2020-12-03 14:13:59,negatif,setelah diperbarui kok jadi sering keluar akun sendiri yaa,baru kok jadi sering keluar akun sendiri yaa
27fcfc79-ab2c-41f2-a2f9-d2e1bee09f60,Tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar HP sehingga tidak tercampur dengan notif lainnya.,3,2025-03-04 21:16:25,netral,tolong untuk presensi dibuatkan notif kembali agar dapat diketahui langsung dari notif bar hp sehingga tidak tercampur dengan notif lainnya,untuk presensi buat notif agar tahu langsung notif bar hp tidak campur notif lain
0b515d84-08e8-44f8-99fe-9951bec24981,Sekarang sering error,1,2020-12-11 07:04:12,negatif,sekarang sering error,sekarang sering error
b00c483b-74fd-4404-a8d3-e4573d300e44,Mantap,5,2020-07-09 16:26:47,positif,mantap,mantap
b00c483b-74fd-4404-a8d3-e4573d300e44,Mantap,5,2020-07-09 16:26:47,positif,mantap,mantap
